"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1359","Test Case 5: Register User with existing email:","chromium","Thu Apr 02 23:01:48 UTC 2026","passed","Thu Apr 02 23:01:50 UTC 2026","","ui/tests/signup.spec.ts","",""
"","1568","Test Case 17: Remove Products From Cart","chromium","Thu Apr 02 23:01:39 UTC 2026","passed","Thu Apr 02 23:01:40 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","539","has title","chromium","Thu Apr 02 23:01:36 UTC 2026","passed","Thu Apr 02 23:01:37 UTC 2026","","api/tests/example.spec.ts","",""
"","751","get started link","chromium","Thu Apr 02 23:01:38 UTC 2026","passed","Thu Apr 02 23:01:39 UTC 2026","","api/tests/example.spec.ts","",""
"","1","Login tests","chromium","Thu Apr 02 23:01:50 UTC 2026","skipped","Thu Apr 02 23:01:50 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","1423","Test Case 3: Login User with incorrect email and password:","chromium","Thu Apr 02 23:01:44 UTC 2026","passed","Thu Apr 02 23:01:46 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1572","Test Case 13: Verify Product quantity in Cart","chromium","Thu Apr 02 23:01:40 UTC 2026","passed","Thu Apr 02 23:01:42 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2335","should log out successfully","chromium","Thu Apr 02 23:01:42 UTC 2026","passed","Thu Apr 02 23:01:44 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1","should submit the contact form successfully","chromium","Thu Apr 02 23:01:40 UTC 2026","skipped","Thu Apr 02 23:01:40 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","2511","seed using loginPage fixture","chromium","Thu Apr 02 23:01:46 UTC 2026","passed","Thu Apr 02 23:01:48 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
