"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3263","should log out successfully","chromium","Tue Apr 07 18:58:05 UTC 2026","passed","Tue Apr 07 18:58:08 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","4572","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue Apr 07 18:57:59 UTC 2026","passed","Tue Apr 07 18:58:04 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1381","Test Case 3: Login User with incorrect email and password:","chromium","Tue Apr 07 18:58:08 UTC 2026","passed","Tue Apr 07 18:58:10 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1","should submit the contact form successfully","chromium","Tue Apr 07 18:57:22 UTC 2026","skipped","Tue Apr 07 18:57:22 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1889","Test Case 5: Register User with existing email:","chromium","Tue Apr 07 18:58:14 UTC 2026","passed","Tue Apr 07 18:58:16 UTC 2026","","ui/tests/signup.spec.ts","",""
"","969","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Tue Apr 07 18:58:04 UTC 2026","passed","Tue Apr 07 18:58:05 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","733","get started link","chromium","Tue Apr 07 18:57:21 UTC 2026","passed","Tue Apr 07 18:57:22 UTC 2026","","api/tests/example.spec.ts","",""
"","546","has title","chromium","Tue Apr 07 18:57:21 UTC 2026","passed","Tue Apr 07 18:57:21 UTC 2026","","api/tests/example.spec.ts","",""
"","0","Login tests","chromium","Tue Apr 07 18:58:16 UTC 2026","skipped","Tue Apr 07 18:58:16 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","3965","seed using loginPage fixture","chromium","Tue Apr 07 18:58:10 UTC 2026","passed","Tue Apr 07 18:58:14 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","5607","Test Case 13: Verify Product quantity in Cart","chromium","Tue Apr 07 18:57:22 UTC 2026","passed","Tue Apr 07 18:57:28 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
