"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1694","Test Case 13: Verify Product quantity in Cart","chromium","Tue Apr 07 05:19:53 UTC 2026","passed","Tue Apr 07 05:19:55 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","479","has title","chromium","Tue Apr 07 05:19:51 UTC 2026","passed","Tue Apr 07 05:19:52 UTC 2026","","api/tests/example.spec.ts","",""
"","678","get started link","chromium","Tue Apr 07 05:19:52 UTC 2026","passed","Tue Apr 07 05:19:53 UTC 2026","","api/tests/example.spec.ts","",""
"","0","Login tests","chromium","Tue Apr 07 05:20:04 UTC 2026","skipped","Tue Apr 07 05:20:04 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","1911","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue Apr 07 05:19:55 UTC 2026","passed","Tue Apr 07 05:19:56 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2380","should log out successfully","chromium","Tue Apr 07 05:19:57 UTC 2026","passed","Tue Apr 07 05:20:00 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Tue Apr 07 05:19:53 UTC 2026","skipped","Tue Apr 07 05:19:53 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1303","Test Case 3: Login User with incorrect email and password:","chromium","Tue Apr 07 05:20:00 UTC 2026","passed","Tue Apr 07 05:20:01 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1101","Test Case 5: Register User with existing email:","chromium","Tue Apr 07 05:20:03 UTC 2026","passed","Tue Apr 07 05:20:04 UTC 2026","","ui/tests/signup.spec.ts","",""
"","1941","seed using loginPage fixture","chromium","Tue Apr 07 05:20:01 UTC 2026","passed","Tue Apr 07 05:20:03 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","790","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Tue Apr 07 05:19:56 UTC 2026","passed","Tue Apr 07 05:19:57 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
