"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11263","Test Case 17: Remove Products From Cart","chromium","Tue Apr 14 05:55:19 UTC 2026","passed","Tue Apr 14 05:55:30 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","6174","seed using loginPage fixture","chromium","Tue Apr 14 05:56:03 UTC 2026","passed","Tue Apr 14 05:56:09 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","2161","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue Apr 14 05:55:47 UTC 2026","passed","Tue Apr 14 05:55:49 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","865","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Tue Apr 14 05:55:49 UTC 2026","passed","Tue Apr 14 05:55:50 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","740","get started link","chromium","Tue Apr 14 05:55:18 UTC 2026","passed","Tue Apr 14 05:55:19 UTC 2026","","api/tests/example.spec.ts","",""
"","8019","TC8 - Verify All products and product details page","chromium","Tue Apr 14 05:56:11 UTC 2026","passed","Tue Apr 14 05:56:19 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","601","has title","chromium","Tue Apr 14 05:55:17 UTC 2026","passed","Tue Apr 14 05:55:18 UTC 2026","","api/tests/example.spec.ts","",""
"","7765","Test Case 13: Verify Product quantity in Cart","chromium","Tue Apr 14 05:55:39 UTC 2026","passed","Tue Apr 14 05:55:47 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2755","Test Case 3: Login User with incorrect email and password:","chromium","Tue Apr 14 05:56:00 UTC 2026","passed","Tue Apr 14 05:56:03 UTC 2026","","ui/tests/loging.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","Tue Apr 14 05:56:11 UTC 2026","skipped","Tue Apr 14 05:56:11 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Tue Apr 14 05:55:30 UTC 2026","skipped","Tue Apr 14 05:55:30 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","2457","Test Case 5: Register User with existing email:","chromium","Tue Apr 14 05:56:09 UTC 2026","passed","Tue Apr 14 05:56:11 UTC 2026","","ui/tests/signup.spec.ts","",""
"","9725","should log out successfully","chromium","Tue Apr 14 05:55:50 UTC 2026","passed","Tue Apr 14 05:56:00 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
